dataset,model,train_size,rmse,train_time_sec,inference_time_per_sample_ms
appliances_energy,XGBoost,1000,88.66077986753078,0.5665970000263769,0.0010361877386369732
appliances_energy,LightGBM,1000,89.82991734669665,1.6105844159901608,0.005493011398567488
appliances_energy,Random Forest,1000,88.24853092395149,0.2662633750005625,0.013214065623416562
appliances_energy,XGBoost,3000,83.28978614789752,0.5984842919860967,0.0008035533375328316
appliances_energy,LightGBM,3000,83.84841307924272,1.7007419169822242,0.0039011801421110926
appliances_energy,Random Forest,3000,81.45075584590525,0.5057904999994207,0.012379402075550858
appliances_energy,XGBoost,6000,77.5390054313392,0.6045077919843607,0.0007157124395968078
appliances_energy,LightGBM,6000,74.50463422648139,1.7475982079922687,0.003135186982663664
appliances_energy,Random Forest,6000,74.8306113954989,0.9312896659830585,0.012877237901819738
appliances_energy,XGBoost,10000,71.2345309413735,0.6188376659993082,0.000734281221705281
appliances_energy,LightGBM,10000,70.13787373647142,1.7374977920262609,0.0030033463431219753
appliances_energy,Random Forest,10000,69.56141888732895,1.6478624169831164,0.012502776287672587
appliances_energy,XGBoost,11841,70.19930471744361,0.6371615420212038,0.0007165358560516098
appliances_energy,LightGBM,11841,68.55019537569608,1.7381089999980759,0.0029165715729869185
appliances_energy,Random Forest,11841,67.53128118122898,1.94108854199294,0.015215480114725727
