dataset,task_type,model,n_train,n_val,n_test,n_features,best_validation_score,best_params,train_time_sec,inference_time_per_sample_ms,rmse,accuracy,auc_roc
appliances_energy,regression,LightGBM,11841,3947,3947,31,-70.31167986571073,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""min_child_samples"": 5, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.3841011000331491,0.0017022042042567,64.421958079335,,
appliances_energy,regression,Random Forest,11841,3947,3947,31,-69.45890789079039,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",1.7279545000055805,0.0201553584976404,63.501527223095735,,
appliances_energy,regression,XGBoost,11841,3947,3947,31,-71.80961020077675,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 500, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.4765038000186905,0.0010160121552113,67.11008257775988,,
bike_sharing,regression,LightGBM,438,146,147,11,-650.2621825426179,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.098469499964267,0.008693197346134,671.9474867545061,,
bike_sharing,regression,Random Forest,438,146,147,11,-649.3553908732125,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.120298099995125,0.1797911566111962,688.4155544523147,,
bike_sharing,regression,XGBoost,438,146,147,11,-655.5609239422374,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.0942195999668911,0.0114666668660178,639.9887694327143,,
divorce,classification,LightGBM,102,34,34,54,1.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 5, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.0201926000299863,0.0429970592342536,,0.9411764705882352,0.9965397923875432
divorce,classification,Random Forest,102,34,34,54,1.0,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.1383210000349208,0.8406911767772672,,0.9411764705882352,0.9896193771626296
divorce,classification,XGBoost,102,34,34,54,1.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.0435149000259116,0.0799676465034923,,0.9411764705882352,0.9965397923875432
german_credit,classification,LightGBM,600,200,200,61,0.7511904761904762,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 5, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.3094921999727376,0.0113280001096427,,0.75,0.7691666666666667
german_credit,classification,Random Forest,600,200,200,61,0.7480357142857144,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.1594104999676346,0.1314734999323263,,0.77,0.7855357142857143
german_credit,classification,XGBoost,600,200,200,61,0.7546428571428571,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.0888422999996692,0.0162210001144558,,0.75,0.7757142857142857
wine,classification,LightGBM,106,36,36,13,1.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 5, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.0600139999878592,0.0335916669832335,,1.0,1.0
wine,classification,Random Forest,106,36,36,13,1.0,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.276068499952089,1.244627778457167,,1.0,1.0
wine,classification,XGBoost,106,36,36,13,1.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.0766808000043965,0.0614555562303091,,1.0,1.0
