Feature,xRFM_AGOP,PCA_Loadings,Mutual_Info,Permutation
num__flavanoids,1.0,1.0,1.0,0.3750000000000003
num__proline,0.55405056,0.7315033,0.7203306909435621,1.0
num__color_intensity,0.5434494,0.17045277,0.8001435914973508,0.0
num__alcohol,0.46662754,0.30210015,0.6381966279742456,0.8125000000000003
num__od280/od315_of_diluted_wines,0.37663883,0.885402,0.6234220493157602,0.0
num__alcalinity_of_ash,0.37031907,0.47916725,0.39718435255205536,0.3750000000000003
num__hue,0.2609381,0.6834379,0.615632620521792,0.0
num__malic_acid,0.14712122,0.56869674,0.4316913471674508,0.18750000000000014
num__proanthocyanins,0.13079232,0.7615225,0.4405241011701843,0.0
num__ash,0.11594222,0.036868047,0.05616167071155161,0.0
num__magnesium,0.027143897,0.34482858,0.3087974738295847,0.0
num__total_phenols,0.014098495,0.9454947,0.7602513874957546,0.0
num__nonflavanoid_phenols,0.0048185163,0.7123051,0.13369287009206396,0.0
